Date,Open,High,Low,Close,Adj Close,Volume
2018-07-16,12.770000,13.580000,11.440000,12.860000,12.860000,0
2018-07-23,13.470000,14.260000,11.600000,13.030000,13.030000,0
2018-07-30,13.630000,14.530000,11.070000,11.640000,11.640000,0
2018-08-06,11.910000,13.820000,10.170000,13.160000,13.160000,0
2018-08-13,14.500000,16.860001,12.400000,12.640000,12.640000,0
2018-08-20,12.570000,13.290000,11.650000,11.990000,11.990000,0
2018-08-27,12.370000,14.030000,11.870000,12.860000,12.860000,0
2018-09-03,13.130000,15.630000,13.120000,14.880000,14.880000,0
2018-09-10,15.090000,15.200000,11.930000,12.070000,12.070000,0
2018-09-17,12.720000,13.750000,11.100000,11.680000,11.680000,0
2018-09-24,12.460000,13.220000,11.550000,12.120000,12.120000,0
2018-10-01,11.990000,17.360001,11.340000,14.820000,14.820000,0
2018-10-08,16.049999,28.840000,15.270000,21.309999,21.309999,0
2018-10-15,21.969999,22.889999,17.059999,19.889999,19.889999,0
2018-10-22,19.379999,27.520000,18.820000,24.160000,24.160000,0
2018-10-29,24.480000,27.860001,18.049999,19.510000,19.510000,0
2018-11-05,20.580000,20.870001,16.090000,17.360001,17.360001,0
2018-11-12,17.260000,22.969999,17.250000,18.139999,18.139999,0
2018-11-19,18.780001,23.809999,18.520000,21.520000,21.520000,0
2018-11-26,20.780001,20.799999,18.030001,18.070000,18.070000,0
2018-12-03,16.040001,25.940001,15.940000,23.230000,23.230000,0
2018-12-10,23.950001,25.940001,20.340000,21.629999,21.629999,0
2018-12-17,22.360001,31.350000,21.969999,30.110001,30.110001,0
2018-12-24,29.290001,36.200001,27.430000,28.340000,28.340000,0
2018-12-31,27.590000,28.530001,21.190001,21.379999,21.379999,0
2019-01-07,22.059999,22.799999,18.120001,18.190001,18.190001,0
2019-01-14,19.840000,20.270000,17.170000,17.799999,17.799999,0
2019-01-21,18.530001,22.020000,17.309999,17.420000,17.420000,0
2019-01-28,18.559999,20.420000,16.080000,16.139999,16.139999,0
2019-02-04,16.719999,17.889999,15.040000,15.720000,15.720000,0
2019-02-11,16.170000,17.270000,14.790000,14.910000,14.910000,0
2019-02-18,15.650000,16.160000,13.510000,13.510000,13.510000,0
2019-02-25,13.910000,16.170000,13.410000,13.570000,13.570000,0
2019-03-04,13.770000,18.330000,13.380000,16.049999,16.049999,0
2019-03-11,16.280001,16.430000,12.500000,12.880000,12.880000,0
2019-03-18,13.130000,17.520000,12.370000,16.480000,16.480000,0
2019-03-25,17.760000,17.850000,13.640000,13.710000,13.710000,0
2019-04-01,13.900000,14.270000,12.170000,12.820000,12.820000,0
2019-04-08,13.550000,14.390000,11.950000,12.010000,12.010000,0
2019-04-15,12.460000,13.140000,11.030000,12.090000,12.090000,0
2019-04-22,13.210000,14.300000,12.080000,12.730000,12.730000,0
2019-04-29,13.040000,15.920000,12.650000,12.870000,12.870000,0
2019-05-06,12.890000,23.379999,12.890000,16.040001,16.040001,0
2019-05-13,18.620001,21.320000,14.860000,15.960000,15.960000,0
2019-05-20,15.880000,18.049999,14.420000,15.850000,15.850000,0
2019-05-27,16.549999,19.719999,15.900000,18.709999,18.709999,0
2019-06-03,19.410000,19.750000,15.330000,16.299999,16.299999,0
2019-06-10,16.299999,16.700001,15.210000,15.280000,15.280000,0
2019-06-17,15.650000,16.030001,13.190000,15.400000,15.400000,0
2019-06-24,15.460000,16.680000,15.080000,15.080000,15.080000,0
2019-07-01,13.850000,14.640000,12.040000,13.280000,13.280000,0
2019-07-08,13.730000,14.710000,12.280000,12.390000,12.390000,0
2019-07-15,12.580000,14.500000,12.240000,14.450000,14.450000,0
2019-07-22,14.550000,14.700000,11.690000,12.160000,12.160000,0
2019-07-29,12.150000,20.110001,12.150000,17.610001,17.610001,0
2019-08-05,19.959999,24.809999,16.820000,17.969999,17.969999,0
2019-08-12,17.870001,24.100000,17.520000,18.469999,18.469999,0
2019-08-19,17.930000,21.070000,15.510000,19.870001,19.870001,0
2019-08-26,20.340000,21.639999,17.090000,18.980000,18.980000,0
2019-09-02,20.959999,21.150000,14.910000,15.000000,15.000000,0
2019-09-09,15.260000,16.520000,13.510000,13.740000,13.740000,0
2019-09-16,14.890000,15.840000,13.310000,15.320000,15.320000,0
2019-09-23,15.350000,18.690001,14.330000,17.219999,17.219999,0
2019-09-30,17.230000,21.459999,15.790000,17.040001,17.040001,0
2019-10-07,18.270000,20.379999,15.110000,15.580000,15.580000,0
