Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,7981.850098,8135.540039,7759.339844,7916.939941,7916.939941,11562900000
2019-05-13,7720.069824,7946.229980,7627.220215,7816.279785,7816.279785,10947140000
2019-05-20,7714.060059,7804.439941,7585.319824,7637.009766,7637.009766,9971250000
2019-05-27,7655.660156,7693.740234,7448.229980,7453.149902,7453.149902,8775190000
2019-06-03,7441.209961,7767.020020,7292.220215,7742.100098,7742.100098,11261680000
2019-06-10,7798.870117,7909.990234,7773.970215,7796.660156,7796.660156,9799150000
2019-06-17,7819.430176,8088.879883,7812.609863,8031.709961,8031.709961,11246410000
2019-06-24,8040.580078,8047.560059,7879.149902,8006.240234,8006.240234,12514160000
2019-07-01,8145.850098,8171.970215,8059.290039,8161.790039,8161.790039,7414560000
2019-07-08,8112.910156,8245.660156,8061.319824,8244.139648,8244.139648,9701880000
2019-07-15,8263.179688,8264.780273,8135.120117,8146.490234,8146.490234,9581740000
2019-07-22,8171.990234,8339.639648,8171.540039,8330.209961,8330.209961,9692360000
2019-07-29,8325.099609,8325.280273,7953.669922,8004.069824,8004.069824,11533790000
2019-08-05,7823.330078,8041.120117,7662.899902,7959.140137,7959.140137,12013700000
2019-08-12,7907.490234,8065.240234,7716.549805,7895.990234,7895.990234,11175680000
2019-08-19,8006.180176,8048.580078,7730.770020,7751.770020,7751.770020,9413710000
2019-08-26,7829.580078,8017.910156,7766.669922,7962.879883,7962.879883,8642240000
2019-09-02,7906.439941,8134.419922,7847.319824,8103.069824,8103.069824,7819950000
2019-09-09,8130.910156,8243.799805,8001.680176,8176.709961,8176.709961,11088020000
2019-09-16,8121.640137,8237.429688,8086.160156,8117.669922,8117.669922,10961140000
2019-09-23,8106.490234,8158.830078,7890.279785,7939.629883,7939.629883,10042330000
2019-09-30,7964.089844,8062.500000,7700.000000,7982.470215,7982.470215,10468400000
2019-10-07,7956.410156,8115.799805,7823.729980,8057.040039,8057.040039,9245040000
2019-10-14,8044.350098,8183.640137,8036.410156,8089.540039,8089.540039,9049410000
2019-10-21,8137.419922,8249.969727,8078.350098,8243.120117,8243.120117,9234890000
2019-10-28,8285.769531,8386.750000,8241.700195,8386.400391,8386.400391,10086190000
2019-11-04,8445.500000,8483.160156,8379.330078,8475.309570,8475.309570,11222640000
2019-11-11,8431.259766,8540.830078,8425.480469,8540.830078,8540.830078,10214070000
2019-11-18,8529.160156,8589.759766,8468.629883,8519.879883,8519.879883,10715520000
